account_id,email,country,account_created_at,kyc_status,is_high_risk_segment
ACC0001,user1@example.com,US,2026-04-01 08:00:00,VERIFIED,False
ACC0002,user2@example.com,US,2024-04-02 08:00:00,VERIFIED,False
ACC0003,user3@example.com,US,2024-08-30 08:00:00,VERIFIED,True
ACC0004,user4@example.com,DE,2025-08-31 08:00:00,VERIFIED,True
ACC0005,user5@example.com,DE,2024-04-23 08:00:00,VERIFIED,False
ACC0006,user6@example.com,DE,2025-01-22 08:00:00,VERIFIED,False
ACC0007,user7@example.com,US,2024-03-10 08:00:00,PENDING,False
ACC0008,user8@example.com,BR,2025-07-16 08:00:00,VERIFIED,False
ACC0009,user9@example.com,BR,2026-01-12 08:00:00,VERIFIED,True
ACC0010,user10@example.com,BR,2024-08-16 08:00:00,VERIFIED,True
ACC0011,user11@example.com,IN,2024-10-24 08:00:00,VERIFIED,False
ACC0012,user12@example.com,GB,2024-10-08 08:00:00,VERIFIED,False
ACC0013,user13@example.com,BR,2024-09-12 08:00:00,VERIFIED,True
ACC0014,user14@example.com,DE,2024-02-25 08:00:00,VERIFIED,True
ACC0015,user15@example.com,DE,2026-01-13 08:00:00,VERIFIED,False
ACC0016,user16@example.com,BR,2025-11-11 08:00:00,VERIFIED,False
ACC0017,user17@example.com,FR,2024-05-08 08:00:00,PENDING,False
ACC0018,user18@example.com,CA,2024-10-27 08:00:00,VERIFIED,False
ACC0019,user19@example.com,NG,2025-07-24 08:00:00,FAILED,False
ACC0020,user20@example.com,DE,2024-05-25 08:00:00,VERIFIED,False
ACC0021,user21@example.com,US,2025-09-04 08:00:00,PENDING,True
ACC0022,user22@example.com,NG,2025-07-26 08:00:00,PENDING,True
ACC0023,user23@example.com,BR,2025-09-21 08:00:00,VERIFIED,False
ACC0024,user24@example.com,IN,2025-12-01 08:00:00,VERIFIED,False
ACC0025,user25@example.com,FR,2024-03-23 08:00:00,VERIFIED,False
ACC0026,user26@example.com,NG,2025-04-21 08:00:00,VERIFIED,False
ACC0027,user27@example.com,IN,2026-01-23 08:00:00,VERIFIED,False
ACC0028,user28@example.com,CA,2024-07-23 08:00:00,VERIFIED,False
ACC0029,user29@example.com,GB,2025-03-28 08:00:00,VERIFIED,False
ACC0030,user30@example.com,FR,2024-10-07 08:00:00,PENDING,True
ACC0031,user31@example.com,GB,2024-05-28 08:00:00,PENDING,False
ACC0032,user32@example.com,BR,2026-01-02 08:00:00,VERIFIED,False
ACC0033,user33@example.com,US,2024-04-17 08:00:00,PENDING,False
ACC0034,user34@example.com,CA,2024-11-23 08:00:00,PENDING,False
ACC0035,user35@example.com,FR,2024-07-11 08:00:00,VERIFIED,False
ACC0036,user36@example.com,BR,2024-03-07 08:00:00,VERIFIED,False
ACC0037,user37@example.com,US,2024-08-21 08:00:00,VERIFIED,True
ACC0038,user38@example.com,BR,2025-06-16 08:00:00,VERIFIED,False
ACC0039,user39@example.com,GB,2026-01-29 08:00:00,VERIFIED,False
ACC0040,user40@example.com,CA,2025-12-16 08:00:00,VERIFIED,False
